article,count
research-article,385174
review-article,19310
brief-report,4476
product-review,205
abstract,1100
case-report,2055
chapter-article,270
discussion,173
other,1869
protocol,544
data-paper,688
calendar,13
methods-article,527
meeting-report,84
editorial,238
letter,409
systematic-review,1436
report,240
article-commentary,119
rapid-communication,39
,1
correction,12
news,23
introduction,5
announcement,4
review-article ,1
addendum,5
book-review,10
obituary,2
in-brief,6
expression-of-concern,1
retraction,1
reply,1
